Kabupaten/Kota,Tahun,Luas Wilayah,Indeks Pembangunan Manusia (IPM),Harapan Lama Sekolah (Tahun),Rata-rata Lama sekolah (Tahun),Angka Partisipasi Sekolah (APS) Usia 7-12 (Persen),Angka Partisipasi Sekolah (APS) Usia 13-15 (Persen),Angka Partisipasi Sekolah (APS) Usia 16-18 (Persen),Angka Partisipasi Sekolah (APS) Usia 19-23 (Persen),Rasio Guru per Siswa,Jumlah Penduduk (Ribu),Persentase Penduduk (Persen),Persentase Penduduk Miskin (Persen),Tingkat Pengangguran Terbuka (TPT) - Agustus,Tingkat Partisipasi Angkatan Kerja - Agustus,Pengeluaran Per Kapita Riil Disesuaikan (Ribu Rupiah),Persentase Rumah Tangga dengan Akses Air Bersih,Laju Pertumbuhan Penduduk per Tahun (persen),Kepadatan Penduduk per km persegi (km²),Gini Ratio
Pacitan,2020,"1389,92","69,28","12,64","7,6","99,82","97,25","77,61","14,71","9,20","586,1","1,44","14,54","2,28","80,36",8796,"84,43","0,78",422,"0,351"
Ponorogo,2020,"1305,7","71,57","13,73","7,54","99,61","98,93","78,66","24,69","11,09","949,3","2,33","9,95","4,45","71,51",9670,"91,15","1,01",727,"0,38"
Trenggalek,2020,"1147,22","70,1","12,35","7,55","99,7","94,22","78,7","13,86","11,71","731,1","1,8","11,62","4,11","75,72",9630,"80,64","0,78",637,"0,379"
Tulungagung,2020,"1055,65","73,15","13,31","8,33","99,58","98,47","79,72","25,06","11,84","1089,8","2,68","7,33","4,61","73,17",10705,"96,75","0,93",1032,"0,336"
Blitar,2020,"1336,48","71,02","12,46","7,39","99,39","98,19","70,33","19,61","13,34","1223,7","3,01","9,33","3,82","70,83",10654,"95,35","0,89",916,"0,348"
Kediri,2020,"1386,05","72,8","13,15","8,02","99,03","99,47","81,83","18,99","15,94","1635,3","4,02","11,4","5,24","70,65",11000,"98,89","0,84",1180,"0,325"
Malang,2020,"3530,65","71,24","13,18","7,42","99,96","97,96","62,25","33,91","16,68","2654,4","6,53","10,15","5,49","71,62",10028,"95,48","0,79",752,"0,371"
Lumajang,2020,"1790,9","67,04","11,81","6,4","99,06","97,85","52,7","11,96","12,87","1119,3","2,75","9,83","3,36","66,92",9088,"95,89","1,03",625,"0,297"
Jember,2020,"3092,34","69,01","13,42","6,48","99,73","96,95","67,12","26,68","15,14","2536,7","6,24","10,09","5,12","68,04",9294,"90,49","0,81",820,"0,318"
Banyuwangi,2020,"5782,4","71,85","12,8","7,16","99,74","98,59","77,8","16,6","14,53","1708,1","4,2","8,06","5,34","71,8",12140,"91,62","0,91",295,"0,316"
Bondowoso,2020,"1525,97","69,1","13,28","5,93","99,68","97,71","71,83","16,44","9,65","776,2","1,91","14,17","4,13","75,09",10610,"91,75","0,51",509,"0,329"
Situbondo,2020,"1669,87","68,94","13,15","6,46","99,23","97,93","65,26","15,14","9,81",686,"1,69","12,22","3,85","73,17",9857,"96,18","0,56",411,"0,305"
Probolinggo,2020,"1696,21","68,77","12,35","6,11","99,42","94,17","60,63","15,12","11,52","1152,5","2,83","18,61","4,86","72,89",10859,"92,16","0,49",679,"0,326"
Pasuruan,2020,"1474,02","70,2","12,41","7,4","99,62","97,6","65,43","20,57","14,78",1606,"3,95","9,26","6,24","67,67",10164,"97,21","0,58",1090,"0,346"
Sidoarjo,2020,"634,38","80,65","14,93","10,5","99,58","99,49","87,36","40,99","17,92","2082,8","5,12","5,59","10,97","67,17",14458,"99,06","0,68",3283,"0,34"
Mojokerto,2020,"717,83","74,58","12,88","8,51","99,7","98,97","81,32","14,3","14,76","1119,2","2,75","10,57","5,75","69,79",12779,"99,2","0,85",1559,"0,325"
Jombang,2020,"1115,09","73,63","13,27","8,54","99,61","98,97","87,19","23,57","13,85","1318,1","3,24","9,94","7,48","70,23",11261,"99,37","0,89",1182,"0,334"
Nganjuk,2020,"1224,25","72,78","12,86","7,64","99,62","99,4","81,19","15,21","13,25","1103,9","2,71","11,62","4,8","65,75",12130,"99,45","0,8",902,"0,335"
Madiun,2020,"1037,58","72,94","13,16","7,81","99,09",97,"78,52","19,1","12,14","744,4","1,83","11,46","4,8","71,42",11574,"97,83","1,14",717,"0,357"
Magetan,2020,"688,84","74,85","14,03","8,24","99,83","99,5","88,05","28,47","11,45","670,8","1,65","10,35","3,74","73,23",11776,"99,46","0,76",974,"0,324"
Ngawi,2020,"1295,98","71,49","12,7","7,06","99,62","99,28","77,15","16,09","11,89","870,1","2,14","15,44","5,44","72,69",11418,"99,49","0,6",671,"0,337"
Bojonegoro,2020,"2198,79","70,18","12,39","7,33","99,85","96,49","80,76","14,19","12,43","1301,6","3,2","12,87","4,92","74,6",10121,"96,94","0,71",592,"0,303"
Tuban,2020,"1834,15","69,6","12,21","6,95","99,97","94,35","65,24","14,92","12,93",1198,"2,95","15,91","4,81","71,84",10238,"97,58","0,67",653,"0,337"
Lamongan,2020,"1782,05","73,44","13,48","7,92","99,61","99,53","69,53","28,67","9,81","1344,2","3,31","13,85","5,13","70,81",11456,"92,18","1,28",754,"0,296"
Gresik,2020,"1191,25","76,59","13,73","9,3","99,66","99,47","85,48","26,55","13,69","1311,2","3,22","12,4","8,21","66,53",13246,"94,63","1,05",1101,"0,299"
Bangkalan,2020,"1001,44","65,17","11,6","5,95","99,48","92,37","50,47","19,01","13,95","1060,4","2,61","20,56","8,77",67,8610,"93,92","1,53",1059,"0,322"
Sampang,2020,"1233,08","64,75","12,37","4,85","98,51","93,54","57,61","18,28","11,21","969,7","2,38","22,78","3,35","69,93",8739,"89,89","0,97",786,"0,262"
Pamekasan,2020,"792,24","68,65","13,64","6,69","98,74","97,46","73,11","20,54","9,26","850,1","2,09","14,6","3,49","69,82",8739,"90,49","0,64",1073,"0,32"
Sumenep,2020,"1998,54","67,15","13,2","5,71","98,97","96,33","73,93","20,43","7,96","1124,4","2,77","20,18","2,84","75,02",8888,"97,82","0,74",563,"0,256"
